season,competition,club,date,result,opponent,goalkeeper,player,scored
14/15,Campeonato Brasileiro Série C,Guaratinguetá (SP),2015-08-30,2:3,SER Caxias do Sul (RS),Marcelo Pitol,Léo Pereira,1
14/15,UEFA Champions League,FC Porto,2015-02-18,1:1,FC Basel 1893,Tomáš Vaclík,Danilo,1
14/15,Liga Portugal,FC Porto,2014-12-19,4:0,Vitória Setúbal FC,Ricardo Batista,Danilo,1
13/14,Liga Portugal,FC Porto,2013-11-30,1:0,Académica Coimbra,Ricardo Nunes,Danilo,0
25/26,AFC Champions League Elite,Al-Ittihad Club,2026-04-14,1:0,Al-Wahda FC,Zayed Ahmed,Fabinho,1
25/26,Saudi Pro League,Al-Ittihad Club,2026-03-06,3:1,Al-Ahli SFC,Edouard Mendy,Fabinho,1
24/25,King's Cup,Al-Ittihad Club,2025-04-01,3:2,Al-Shabab FC,Georgiy Bushchan,Fabinho,1
21/22,Premier League,Liverpool FC,2022-04-02,2:0,Watford FC,Ben Foster,Fabinho,1
21/22,Premier League,Liverpool FC,2022-01-23,1:3,Crystal Palace,Vicente Guaita,Fabinho,1
21/22,FA Cup,Liverpool FC,2022-01-09,4:1,Shrewsbury Town,Marko Marosi,Fabinho,1
17/18,Ligue 1,AS Monaco,2018-02-16,4:0,Dijon FCO,Baptiste Reynet,Fabinho,1
17/18,Coupe de France,AS Monaco,2018-01-06,2:5,AS Yzeure,Jonathan Millieras,Fabinho,1
17/18,Ligue 1,AS Monaco,2017-11-04,6:0,EA Guingamp,Karl-Johan Johnsson,Fabinho,1
17/18,Ligue 1,AS Monaco,2017-08-27,6:1,Olympique Marseille,Steve Mandanda,Fabinho,1
16/17,Ligue 1,AS Monaco,2017-03-19,0:3,SM Caen,Rémy Vercoutre,Fabinho,1
16/17,Ligue 1,AS Monaco,2017-03-05,4:0,FC Nantes,Maxime Dupé,Fabinho,1
16/17,Ligue 1,AS Monaco,2017-02-25,1:2,EA Guingamp,Karl-Johan Johnsson,Fabinho,1
16/17,Ligue 1,AS Monaco,2016-11-05,6:0,AS Nancy-Lorraine,Guy Roland Ndy Assembé,Fabinho,1
16/17,Ligue 1,AS Monaco,2016-10-01,0:7,FC Metz,Thomas Didillon-Hödl,Fabinho,1
24/25,Saudi Pro League,Al-Ittihad Club,2025-04-17,2:0,Al-Fateh SC,Nawaf Al-Aqidi,Fabinho,0
23/24,Saudi Pro League,Al-Ittihad Club,2024-05-27,4:2,Al-Nassr FC,Raghed Al-Najjar,Fabinho,0
16/17,UEFA Champions League,AS Monaco,2017-04-12,2:3,Borussia Dortmund,Roman Bürki,Fabinho,0
16/17,Ligue 1,AS Monaco,2016-08-28,3:1,Paris Saint-Germain,Kevin Trapp,Fabinho,1
16/17,UEFA Champions League Qualifying,AS Monaco,2016-08-23,1:0,Villarreal CF,Sergio Asenjo,Fabinho,1
16/17,UEFA Champions League Qualifying,AS Monaco,2016-08-17,1:2,Villarreal CF,Sergio Asenjo,Fabinho,1
16/17,Ligue 1,AS Monaco,2016-08-12,2:2,EA Guingamp,Karl-Johan Johnsson,Fabinho,1
15/16,Ligue 1,AS Monaco,2016-05-14,2:0,Montpellier HSC,Laurent Pionnier,Fabinho,1
15/16,Ligue 1,AS Monaco,2016-03-20,0:2,Paris Saint-Germain,Kevin Trapp,Fabinho,1
15/16,Ligue 1,AS Monaco,2016-01-09,2:2,GFC Ajaccio,Clément Maury,Fabinho,1
15/16,Coupe de France,AS Monaco,2016-01-03,10:2,JS Saint-Jean Beaulieu,Kévin Blois,Fabinho,1
15/16,Coupe de France,AS Monaco,2016-01-03,10:2,JS Saint-Jean Beaulieu,Kévin Blois,Fabinho,1
15/16,Ligue 1,AS Monaco,2015-12-13,1:0,AS Saint-Étienne,Stéphane Ruffier,Fabinho,1
15/16,Ligue 1,AS Monaco,2015-09-24,2:3,Montpellier HSC,Jonathan Ligali,Fabinho,1
15/16,Ligue 1,AS Monaco,2015-09-13,0:1,GFC Ajaccio,Clément Maury,Fabinho,1
24/25,Saudi Pro League,Al-Ittihad Club,2025-04-17,2:0,Al-Fateh SC,Nawaf Al-Aqidi,Fabinho,0
23/24,Saudi Pro League,Al-Ittihad Club,2024-05-27,4:2,Al-Nassr FC,Raghed Al-Najjar,Fabinho,0
16/17,UEFA Champions League,AS Monaco,2017-04-12,2:3,Borussia Dortmund,Roman Bürki,Fabinho,0
25/26,Premier League,Newcastle United,2026-02-07,2:3,Brentford FC,Caoimhín Kelleher,Bruno Guimarães,1
25/26,Premier League,Newcastle United,2026-01-07,4:3,Leeds United,Lucas Perri,Bruno Guimarães,1
20/21,Ligue 1,Olympique Lyon,2021-05-08,4:1,FC Lorient,Paul Nardi,Bruno Guimarães,1
25/26,World Cup,Brazil,2026-07-05,1:2,Norway,Ørjan Nyland,Bruno Guimarães,0
25/26,Serie A,Atalanta BC,2026-02-14,0:2,SS Lazio,Ivan Provedel,Éderson,1
25/26,Copa Libertadores,CR Flamengo,2026-05-27,3:0,Cusco FC,Andy Vidal,Lucas Paquetá,1
25/26,Premier League,West Ham United,2025-12-30,2:2,Brighton & Hove Albion,Bart Verbruggen,Lucas Paquetá,1
25/26,Premier League,West Ham United,2025-08-31,0:3,Nottingham Forest,Matz Sels,Lucas Paquetá,1
24/25,Premier League,West Ham United,2024-12-16,1:1,AFC Bournemouth,Kepa Arrizabalaga,Lucas Paquetá,1
24/25,Premier League,West Ham United,2024-08-17,1:2,Aston Villa,Emiliano Martínez,Lucas Paquetá,1
23/24,Copa América,Brazil,2024-06-29,1:4,Paraguay,Rodrigo Morínigo,Lucas Paquetá,1
23/24,Premier League,West Ham United,2024-04-06,1:2,Wolverhampton Wanderers,José Sá,Lucas Paquetá,1
23/24,International Friendlies,Brazil,2024-03-26,3:3,Spain,Unai Simón,Lucas Paquetá,1
23/24,Premier League,West Ham United,2023-08-20,3:1,Chelsea FC,Robert Sánchez,Lucas Paquetá,1
22/23,UEFA Conference League,West Ham United,2023-04-20,4:1,KAA Gent,Davy Roef,Lucas Paquetá,1
22/23,Premier League,West Ham United,2023-01-04,2:2,Leeds United,Illan Meslier,Lucas Paquetá,1
21/22,Ligue 1,Olympique Lyon,2021-11-07,4:1,Stade Rennais FC,Alfred Gomis,Lucas Paquetá,1
25/26,International Friendlies,Brazil,2025-11-18,1:1,Tunisia,Aymen Dahmen,Lucas Paquetá,0
23/24,Copa América,Brazil,2024-06-29,1:4,Paraguay,Rodrigo Morínigo,Lucas Paquetá,0
25/26,World Cup,Brazil,2026-07-05,1:2,Norway,Ørjan Nyland,Neymar,1
25/26,Campeonato Brasileiro Série A,Santos FC,2026-03-19,1:2,Sport Club Internacional,Sergio Rochet,Neymar,1
24/25,Campeonato Brasileiro Série A,Santos FC,2025-12-03,0:3,Esporte Clube Juventude,Jandrei,Neymar,1
24/25,Campeonato Brasileiro Série A,Santos FC,2025-08-05,3:1,Esporte Clube Juventude,Ruan Carneiro,Neymar,1
24/25,Campeonato Paulista,Santos FC,2025-02-17,3:1,EC Água Santa (SP),Luan Ribeiro,Neymar,1
21/22,World Cup,Brazil,2022-12-05,4:1,South Korea,Seung-gyu Kim,Neymar,1
22/23,International Friendlies,Brazil,2022-09-27,5:1,Tunisia,Aymen Dahmen,Neymar,1
22/23,Ligue 1,Paris Saint-Germain,2022-08-28,1:1,AS Monaco,Alexander Nübel,Neymar,1
22/23,Ligue 1,Paris Saint-Germain,2022-08-13,5:2,Montpellier HSC,Jonas Omlin,Neymar,1
22/23,Trophée des Champions,Paris Saint-Germain,2022-07-31,4:0,FC Nantes,Alban Lafont,Neymar,1
21/22,International Friendlies,Brazil,2022-06-06,0:1,Japan,Shuichi Gonda,Neymar,1
21/22,International Friendlies,Brazil,2022-06-02,1:5,South Korea,Seung-gyu Kim,Neymar,1
21/22,International Friendlies,Brazil,2022-06-02,1:5,South Korea,Seung-gyu Kim,Neymar,1
21/22,Ligue 1,Paris Saint-Germain,2022-05-08,2:2,ESTAC Troyes,Jessy Moulin,Neymar,1
21/22,Ligue 1,Paris Saint-Germain,2022-04-09,1:6,Clermont Foot 63,Arthur Desmas,Neymar,1
23/24,Saudi Pro League,Al-Hilal SFC,2023-09-29,2:0,Al-Shabab FC,Seung-gyu Kim,Neymar,0
23/24,World Cup qualification South America,Brazil,2023-09-09,5:1,Bolivia,Guillermo Viscarra,Neymar,0
21/22,Ligue 1,Paris Saint-Germain,2022-02-19,3:1,FC Nantes,Alban Lafont,Neymar,0
20/21,Ligue 1,Paris Saint-Germain,2021-05-23,0:2,Stade Brestois 29,Gautier Larsonneur,Neymar,0
19/20,Ligue 1,Paris Saint-Germain,2019-12-15,0:4,AS Saint-Étienne,Stéphane Ruffier,Neymar,0
17/18,International Friendlies,Brazil,2017-11-10,1:3,Japan,Eiji Kawashima,Neymar,0
15/16,World Cup qualification South America,Brazil,2017-03-29,3:0,Paraguay,Antony Silva,Neymar,0
16/17,UEFA Champions League,FC Barcelona,2016-10-19,4:0,Manchester City,Willy Caballero,Neymar,0
15/16,Copa del Rey,FC Barcelona,2016-02-03,7:0,Valencia CF,Mathew Ryan,Neymar,0
15/16,LaLiga,FC Barcelona,2015-12-30,4:0,Real Betis Balompié,Antonio Adán,Neymar,0
15/16,UEFA Champions League,FC Barcelona,2015-11-24,6:1,AS Roma,Wojciech Szczesny,Neymar,0
15/16,LaLiga,FC Barcelona,2015-09-26,2:1,UD Las Palmas,Javi Varas,Neymar,0
14/15,Copa del Rey,FC Barcelona,2015-02-11,3:1,Villarreal CF,Sergio Asenjo,Neymar,0
12/13,International Friendlies,Brazil,2012-11-15,1:1,Colombia,David Ospina,Neymar,0
11/12,Recopa Sudamericana,Santos FC,2012-09-27,2:0,Club Universidad de Chile,Johnny Herrera,Neymar,0
20/21,World Cup qualification South America,Brazil,2022-03-25,4:0,Chile,Claudio Bravo,Neymar,1
21/22,Ligue 1,Paris Saint-Germain,2021-09-19,2:1,Olympique Lyon,Anthony Lopes,Neymar,1
20/21,Copa América,Brazil,2021-06-13,3:0,Venezuela,Joel Graterol,Neymar,1
20/21,World Cup qualification South America,Brazil,2021-06-05,2:0,Ecuador,Alexander Domínguez,Neymar,1
20/21,Ligue 1,Paris Saint-Germain,2021-05-16,4:0,Stade Reims,Predrag Rajković,Neymar,1
20/21,Ligue 1,Paris Saint-Germain,2021-05-09,1:1,Stade Rennais FC,Alfred Gomis,Neymar,1
20/21,Ligue 1,Paris Saint-Germain,2021-01-31,3:2,FC Lorient,Matthieu Dreyer,Neymar,1
20/21,Ligue 1,Paris Saint-Germain,2021-01-31,3:2,FC Lorient,Matthieu Dreyer,Neymar,1
20/21,Trophée des Champions,Paris Saint-Germain,2021-01-13,2:1,Olympique Marseille,Yohann Pelé,Neymar,1
20/21,Ligue 1,Paris Saint-Germain,2020-11-28,2:2,FC Girondins Bordeaux,Benoît Costil,Neymar,1
20/21,UEFA Champions League,Paris Saint-Germain,2020-11-24,1:0,RB Leipzig,Péter Gulácsi,Neymar,1
20/21,World Cup qualification South America,Brazil,2020-10-14,2:4,Peru,Pedro Gallese,Neymar,1
20/21,World Cup qualification South America,Brazil,2020-10-14,2:4,Peru,Pedro Gallese,Neymar,1
19/20,Coupe de France,Paris Saint-Germain,2020-03-04,1:5,Olympique Lyon,Anthony Lopes,Neymar,1
19/20,Ligue 1,Paris Saint-Germain,2020-01-26,0:2,LOSC Lille,Mike Maignan,Neymar,1
11/12,Recopa Sudamericana,Santos FC,2012-08-22,0:0,Club Universidad de Chile,Johnny Herrera,Neymar,0
10/11,Copa Libertadores,Santos FC,2011-05-19,1:1,Once Caldas,Luis Martínez,Neymar,0
09/10,Campeonato Brasileiro Série A,Santos FC,2010-10-24,2:3,Grêmio Barueri Futebol Ltda.,Giovanni,Neymar,0
09/10,Campeonato Brasileiro Série A,Santos FC,2010-08-28,2:0,Goiás EC,Harlei,Neymar,0
09/10,Campeonato Brasileiro Série A,Santos FC,2010-08-25,1:2,Grêmio Foot-Ball Porto Alegrense,Victor,Neymar,0
09/10,Copa do Brasil,Santos FC,2010-07-29,2:0,Esporte Clube Vitória,Lee Oliveira,Neymar,0
09/10,Campeonato Paulista,Santos FC,2010-02-28,2:1,Sport Club Corinthians Paulista,Felipe,Neymar,0
19/20,Ligue 1,Paris Saint-Germain,2020-01-15,1:4,AS Monaco,Benjamin Lecomte,Neymar,1
19/20,Ligue 1,Paris Saint-Germain,2020-01-12,3:3,AS Monaco,Benjamin Lecomte,Neymar,1
19/20,Ligue 1,Paris Saint-Germain,2019-12-04,2:0,FC Nantes,Alban Lafont,Neymar,1
18/19,Ligue 1,Paris Saint-Germain,2019-05-04,1:1,OGC Nice,Walter Benítez,Neymar,1
18/19,International Friendlies,Brazil,2018-11-16,1:0,Uruguay,Martín Campaña,Neymar,1
18/19,Ligue 1,Paris Saint-Germain,2018-11-11,0:4,AS Monaco,Diego Benaglio,Neymar,1
18/19,Ligue 1,Paris Saint-Germain,2018-10-07,5:0,Olympique Lyon,Anthony Lopes,Neymar,1
18/19,Ligue 1,Paris Saint-Germain,2018-09-26,4:1,Stade Reims,Edouard Mendy,Neymar,1
18/19,International Friendlies,Brazil,2018-09-12,5:0,El Salvador,Henry Hernández,Neymar,1
18/19,International Friendlies,Brazil,2018-09-08,0:2,United States,Zack Steffen,Neymar,1
18/19,Ligue 1,Paris Saint-Germain,2018-08-18,1:3,EA Guingamp,Karl-Johan Johnsson,Neymar,1
17/18,Ligue 1,Paris Saint-Germain,2018-01-27,4:0,Montpellier HSC,Benjamin Lecomte,Neymar,1
17/18,Ligue 1,Paris Saint-Germain,2018-01-17,8:0,Dijon FCO,Baptiste Reynet,Neymar,1
17/18,Coupe de la Ligue,Paris Saint-Germain,2018-01-10,0:2,Amiens SC,Jean-Christophe Bouet,Neymar,1
17/18,Ligue 1,Paris Saint-Germain,2017-11-26,1:2,AS Monaco,Danijel Subasic,Neymar,1
11/12,Recopa Sudamericana,Santos FC,2012-08-22,0:0,Club Universidad de Chile,Johnny Herrera,Neymar,0
10/11,Copa Libertadores,Santos FC,2011-05-19,1:1,Once Caldas,Luis Martínez,Neymar,0
09/10,Campeonato Brasileiro Série A,Santos FC,2010-10-24,2:3,Grêmio Barueri Futebol Ltda.,Giovanni,Neymar,0
09/10,Campeonato Brasileiro Série A,Santos FC,2010-08-28,2:0,Goiás EC,Harlei,Neymar,0
09/10,Campeonato Brasileiro Série A,Santos FC,2010-08-25,1:2,Grêmio Foot-Ball Porto Alegrense,Victor,Neymar,0
09/10,Copa do Brasil,Santos FC,2010-07-29,2:0,Esporte Clube Vitória,Lee Oliveira,Neymar,0
09/10,Campeonato Paulista,Santos FC,2010-02-28,2:1,Sport Club Corinthians Paulista,Felipe,Neymar,0
17/18,International Friendlies,Brazil,2017-11-10,1:3,Japan,Eiji Kawashima,Neymar,1
17/18,Ligue 1,Paris Saint-Germain,2017-09-30,6:2,FC Girondins Bordeaux,Benoît Costil,Neymar,1
16/17,UEFA Champions League,FC Barcelona,2017-03-08,6:1,Paris Saint-Germain,Kevin Trapp,Neymar,1
16/17,Copa del Rey,FC Barcelona,2017-01-19,0:1,Real Sociedad,Gerónimo Rulli,Neymar,1
16/17,Copa del Rey,FC Barcelona,2017-01-11,3:1,Athletic Bilbao,Gorka Iraizoz,Neymar,1
16/17,LaLiga,FC Barcelona,2016-10-02,4:3,Celta de Vigo,Sergio Álvarez,Neymar,1
15/16,World Cup qualification South America,Brazil,2016-09-01,0:3,Ecuador,Alexander Domínguez,Neymar,1
15/16,Olympic Games,Brazil Olympic Team,2016-08-17,6:0,Honduras Olympic Team,Luis López,Neymar,1
15/16,LaLiga,FC Barcelona,2016-04-23,6:0,Sporting Gijón,Iván Cuéllar,Neymar,1
15/16,LaLiga,FC Barcelona,2016-03-20,2:2,Villarreal CF,Sergio Asenjo,Neymar,1
15/16,UEFA Champions League,FC Barcelona,2015-11-04,3:0,BATE Borisov,Sergey Chernik,Neymar,1
15/16,LaLiga,FC Barcelona,2015-10-17,5:2,Rayo Vallecano,Toño,Neymar,1
15/16,LaLiga,FC Barcelona,2015-10-17,5:2,Rayo Vallecano,Toño,Neymar,1
15/16,LaLiga,FC Barcelona,2015-10-03,2:1,Sevilla FC,Sergio Rico,Neymar,1
15/16,International Friendlies,Brazil,2015-09-09,1:4,United States,Brad Guzan,Neymar,1
11/12,Recopa Sudamericana,Santos FC,2012-08-22,0:0,Club Universidad de Chile,Johnny Herrera,Neymar,0
10/11,Copa Libertadores,Santos FC,2011-05-19,1:1,Once Caldas,Luis Martínez,Neymar,0
09/10,Campeonato Brasileiro Série A,Santos FC,2010-10-24,2:3,Grêmio Barueri Futebol Ltda.,Giovanni,Neymar,0
09/10,Campeonato Brasileiro Série A,Santos FC,2010-08-28,2:0,Goiás EC,Harlei,Neymar,0
09/10,Campeonato Brasileiro Série A,Santos FC,2010-08-25,1:2,Grêmio Foot-Ball Porto Alegrense,Victor,Neymar,0
