season,competition,club,date,result,opponent,goalkeeper,player,scored
09/10,Copa do Brasil,Santos FC,2010-07-29,2:0,Esporte Clube Vitória,Lee Oliveira,Neymar,0
09/10,Campeonato Paulista,Santos FC,2010-02-28,2:1,Sport Club Corinthians Paulista,Felipe,Neymar,0
14/15,LaLiga,FC Barcelona,2015-05-02,0:8,Córdoba CF,Juan Carlos,Neymar,1
13/14,World Cup,Brazil,2014-06-12,3:1,Croatia,Stipe Pletikosa,Neymar,1
13/14,LaLiga,FC Barcelona,2013-12-14,2:1,Villarreal CF,Sergio Asenjo,Neymar,1
12/13,Campeonato Paulista,Santos FC,2013-02-03,3:1,São Paulo Futebol Clube,Denis,Neymar,1
12/13,Campeonato Paulista,Santos FC,2013-01-28,2:2,Clube Atlético Bragantino (SP),Rafael Defendi,Neymar,1
12/13,Campeonato Paulista,Santos FC,2013-01-20,1:3,São Bernardo FC,Wilson Júnior,Neymar,1
11/12,Campeonato Brasileiro Série A,Santos FC,2012-12-01,3:1,Sociedade Esportiva Palmeiras,Raphael Alemão,Neymar,1
12/13,International Friendlies,Brazil,2012-10-16,0:4,Japan,Eiji Kawashima,Neymar,1
12/13,International Friendlies,Brazil,2012-09-20,2:1,Argentina,Óscar Ustari,Neymar,1
11/12,Olympic Games,Brazil Olympic Team,2012-08-04,3:2,Honduras Olympic Team,José Mendoza,Neymar,1
11/12,International Friendlies,Brazil,2012-05-31,1:4,United States,Tim Howard,Neymar,1
11/12,Campeonato Paulista - Série A1 - Fase final,Santos FC,2012-05-13,4:2,Guarani Futebol Clube (SP),Emerson,Neymar,1
11/12,Copa Libertadores,Santos FC,2012-05-11,8:0,Bolívar La Paz,Marcos Argüello,Neymar,1
11/12,Campeonato Paulista - Série A1 - Fase final,Santos FC,2012-04-29,1:3,São Paulo Futebol Clube,Denis,Neymar,1
11/12,Campeonato Paulista,Santos FC,2012-03-30,5:0,Guaratinguetá (SP),Jailson,Neymar,1
11/12,Recopa Sudamericana,Santos FC,2012-08-22,0:0,Club Universidad de Chile,Johnny Herrera,Neymar,0
10/11,Copa Libertadores,Santos FC,2011-05-19,1:1,Once Caldas,Luis Martínez,Neymar,0
09/10,Campeonato Brasileiro Série A,Santos FC,2010-10-24,2:3,Grêmio Barueri Futebol Ltda.,Giovanni,Neymar,0
09/10,Campeonato Brasileiro Série A,Santos FC,2010-08-28,2:0,Goiás EC,Harlei,Neymar,0
09/10,Campeonato Brasileiro Série A,Santos FC,2010-08-25,1:2,Grêmio Foot-Ball Porto Alegrense,Victor,Neymar,0
09/10,Copa do Brasil,Santos FC,2010-07-29,2:0,Esporte Clube Vitória,Lee Oliveira,Neymar,0
09/10,Campeonato Paulista,Santos FC,2010-02-28,2:1,Sport Club Corinthians Paulista,Felipe,Neymar,0
11/12,Campeonato Paulista,Santos FC,2012-03-30,5:0,Guaratinguetá (SP),Jailson,Neymar,1
11/12,Copa Libertadores,Santos FC,2012-03-07,3:1,Sport Club Internacional,Muriel,Neymar,1
11/12,Campeonato Paulista,Santos FC,2012-02-10,1:4,Botafogo FC,Juninho,Neymar,1
10/11,Campeonato Brasileiro Série A,Santos FC,2011-10-29,4:1,Club Athletico Paranaense,Renan Rocha,Neymar,1
10/11,Campeonato Brasileiro Série A,Santos FC,2011-10-29,4:1,Club Athletico Paranaense,Renan Rocha,Neymar,1
10/11,Campeonato Brasileiro Série A,Santos FC,2011-10-23,1:1,CR Flamengo,Felipe,Neymar,1
10/11,Campeonato Brasileiro Série A,Santos FC,2011-08-21,1:2,Esporte Clube Bahia,Marcelo Lomba,Neymar,1
10/11,International Friendlies,Brazil,2011-03-27,0:2,Scotland,Allan McGregor,Neymar,1
10/11,U-20 South American Championship,Brazil U20,2011-01-18,4:2,Paraguay U20,Mario Ovando,Neymar,1
09/10,Campeonato Brasileiro Série A,Santos FC,2010-11-21,1:4,Goiás EC,Harlei,Neymar,1
09/10,Campeonato Brasileiro Série A,Santos FC,2010-10-17,4:3,São Paulo Futebol Clube,Rogério Ceni,Neymar,1
09/10,Campeonato Brasileiro Série A,Santos FC,2010-08-25,1:2,Grêmio Foot-Ball Porto Alegrense,Victor,Neymar,1
09/10,Campeonato Brasileiro Série A,Santos FC,2010-08-22,2:0,Clube Atlético Mineiro,Aranha,Neymar,1
09/10,Campeonato Brasileiro Série A,Santos FC,2010-05-16,1:1,Ceará Sporting Club,Diego,Neymar,1
09/10,Campeonato Paulista - Série A1 - Fase final,Santos FC,2010-04-18,3:0,São Paulo Futebol Clube,Rogério Ceni,Neymar,1
11/12,Recopa Sudamericana,Santos FC,2012-08-22,0:0,Club Universidad de Chile,Johnny Herrera,Neymar,0
10/11,Copa Libertadores,Santos FC,2011-05-19,1:1,Once Caldas,Luis Martínez,Neymar,0
09/10,Campeonato Brasileiro Série A,Santos FC,2010-10-24,2:3,Grêmio Barueri Futebol Ltda.,Giovanni,Neymar,0
09/10,Campeonato Brasileiro Série A,Santos FC,2010-08-28,2:0,Goiás EC,Harlei,Neymar,0
09/10,Campeonato Brasileiro Série A,Santos FC,2010-08-25,1:2,Grêmio Foot-Ball Porto Alegrense,Victor,Neymar,0
09/10,Copa do Brasil,Santos FC,2010-07-29,2:0,Esporte Clube Vitória,Lee Oliveira,Neymar,0
09/10,Campeonato Paulista,Santos FC,2010-02-28,2:1,Sport Club Corinthians Paulista,Felipe,Neymar,0
09/10,Copa do Brasil,Santos FC,2010-04-15,8:1,Guarani Futebol Clube (SP),Juliano,Neymar,1
09/10,Copa do Brasil,Santos FC,2010-03-19,0:4,Clube do Remo (PA),Adriano Paredão,Neymar,1
09/10,Campeonato Paulista,Santos FC,2010-02-07,1:2,São Paulo Futebol Clube,Rogério Ceni,Neymar,1
09/10,Campeonato Paulista,Santos FC,2010-01-28,5:0,Grêmio Barueri Futebol Ltda.,Márcio Aguiar,Neymar,1
11/12,Recopa Sudamericana,Santos FC,2012-08-22,0:0,Club Universidad de Chile,Johnny Herrera,Neymar,0
10/11,Copa Libertadores,Santos FC,2011-05-19,1:1,Once Caldas,Luis Martínez,Neymar,0
09/10,Campeonato Brasileiro Série A,Santos FC,2010-10-24,2:3,Grêmio Barueri Futebol Ltda.,Giovanni,Neymar,0
09/10,Campeonato Brasileiro Série A,Santos FC,2010-08-28,2:0,Goiás EC,Harlei,Neymar,0
09/10,Campeonato Brasileiro Série A,Santos FC,2010-08-25,1:2,Grêmio Foot-Ball Porto Alegrense,Victor,Neymar,0
09/10,Copa do Brasil,Santos FC,2010-07-29,2:0,Esporte Clube Vitória,Lee Oliveira,Neymar,0
09/10,Campeonato Paulista,Santos FC,2010-02-28,2:1,Sport Club Corinthians Paulista,Felipe,Neymar,0
25/26,LaLiga,Real Madrid,2026-03-22,3:2,Atlético de Madrid,Juan Musso,Vinicius Junior,1
25/26,UEFA Champions League,Real Madrid,2026-03-17,1:2,Manchester City,Gianluigi Donnarumma,Vinicius Junior,1
25/26,LaLiga,Real Madrid,2026-02-14,4:1,Real Sociedad,Álex Remiro,Vinicius Junior,1
25/26,LaLiga,Real Madrid,2026-02-14,4:1,Real Sociedad,Álex Remiro,Vinicius Junior,1
25/26,LaLiga,Real Madrid,2025-10-04,3:1,Villarreal CF,Arnau Tenas,Vinicius Junior,1
24/25,FIFA Intercontinental Cup,Real Madrid,2024-12-18,3:0,CF Pachuca,Carlos Moreno,Vinicius Junior,1
24/25,UEFA Champions League,Real Madrid,2024-11-05,1:3,AC Milan,Mike Maignan,Vinicius Junior,1
24/25,LaLiga,Real Madrid,2024-09-14,0:2,Real Sociedad,Álex Remiro,Vinicius Junior,1
24/25,LaLiga,Real Madrid,2024-08-29,1:1,UD Las Palmas,Jasper Cillessen,Vinicius Junior,1
23/24,UEFA Champions League,Real Madrid,2024-04-30,2:2,Bayern Munich,Manuel Neuer,Vinicius Junior,1
23/24,LaLiga,Real Madrid,2024-04-21,3:2,FC Barcelona,Marc-André ter Stegen,Vinicius Junior,1
23/24,Supercopa,Real Madrid,2024-01-14,4:1,FC Barcelona,Iñaki Peña,Vinicius Junior,1
22/23,International Friendlies,Brazil,2023-06-17,4:1,Guinea,Ibrahim Koné,Vinicius Junior,1
25/26,UEFA Champions League,Real Madrid,2026-03-11,3:0,Manchester City,Gianluigi Donnarumma,Vinicius Junior,0
25/26,LaLiga,Real Madrid,2025-11-01,4:0,Valencia CF,Julen Agirrezabala,Vinicius Junior,0
24/25,LaLiga,Real Madrid,2025-04-05,1:2,Valencia CF,Giorgi Mamardashvili,Vinicius Junior,0
24/25,UEFA Champions League,Real Madrid,2025-03-12,3:4,Atlético de Madrid,Jan Oblak,Vinicius Junior,0
23/24,World Cup qualification South America,Brazil,2024-11-14,1:1,Venezuela,Rafael Romo,Vinicius Junior,0
18/19,International Friendlies,Brazil U20,2018-10-13,1:1,Chile U20,Luis Ureta,Vinicius Junior,0
25/26,LaLiga,FC Barcelona,2026-03-15,5:2,Sevilla FC,Odysseas Vlachodimos,Raphinha,1
25/26,LaLiga,FC Barcelona,2026-03-15,5:2,Sevilla FC,Odysseas Vlachodimos,Raphinha,1
25/26,Copa del Rey,FC Barcelona,2026-03-03,3:0,Atlético de Madrid,Juan Musso,Raphinha,1
25/26,UEFA Champions League,FC Barcelona,2026-01-28,4:1,FC Copenhagen,Dominik Kotarski,Raphinha,1
25/26,LaLiga,FC Barcelona,2025-12-21,0:2,Villarreal CF,Luiz Júnior,Raphinha,1
24/25,LaLiga,FC Barcelona,2025-04-19,4:3,Celta de Vigo,Vicente Guaita,Raphinha,1
23/24,World Cup qualification South America,Brazil,2025-03-21,2:1,Colombia,Camilo Vargas,Raphinha,1
24/25,LaLiga,FC Barcelona,2024-12-03,1:5,RCD Mallorca,Leo Román,Raphinha,1
23/24,World Cup qualification South America,Brazil,2024-10-16,4:0,Peru,Pedro Gallese,Raphinha,1
23/24,World Cup qualification South America,Brazil,2024-10-16,4:0,Peru,Pedro Gallese,Raphinha,1
23/24,LaLiga,FC Barcelona,2024-05-13,2:0,Real Sociedad,Álex Remiro,Raphinha,1
21/22,Premier League,Leeds United,2022-05-22,1:2,Brentford FC,David Raya,Raphinha,1
21/22,Premier League,Leeds United,2021-12-18,1:4,Arsenal FC,Aaron Ramsdale,Raphinha,1
21/22,Premier League,Leeds United,2021-12-11,3:2,Chelsea FC,Edouard Mendy,Raphinha,1
21/22,Premier League,Leeds United,2021-11-30,1:0,Crystal Palace,Vicente Guaita,Raphinha,1
17/18,Liga Portugal,Vitória Guimarães SC,2017-12-23,0:1,CD Tondela,Cláudio Ramos,Raphinha,0
19/20,Ligue 1,Stade Rennais FC,2019-11-10,3:1,Amiens SC,Régis Gurtner,Raphinha,1
17/18,Liga Portugal,Vitória Guimarães SC,2018-03-11,2:1,Portimonense SAD,Ricardo Ferreira,Raphinha,1
17/18,Liga Portugal,Vitória Guimarães SC,2017-12-03,1:2,Vitória Setúbal FC,Cristiano Figueiredo,Raphinha,1
17/18,Liga Portugal,Vitória Guimarães SC,2017-12-23,0:1,CD Tondela,Cláudio Ramos,Raphinha,0
21/22,Premier League,Arsenal FC,2022-05-22,5:1,Everton FC,Asmir Begovic,Gabriel Martinelli,1
24/25,Campeonato Brasileiro Série A,Clube de Regatas Vasco da Gama,2025-10-05,4:3,Esporte Clube Vitória,Lucas Arcanjo,Rayan,1
24/25,Campeonato Brasileiro Série A,Clube de Regatas Vasco da Gama,2025-08-17,0:6,Santos FC,Gabriel Brazão,Rayan,1
22/23,U17 World Cup,Brazil U17,2023-11-14,9:0,New Caledonia U16/U17,Nicolas Kutran,Rayan,1
22/23,U-17 South American Championship,Brazil U17,2023-04-20,0:3,Chile U17,Francisco Valdés,Rayan,1
23/24,Campeonato Brasileiro Série A,Botafogo de Futebol e Regatas,2024-08-04,1:4,Atlético Clube Goianiense,Pedro Rangel,Luiz Henrique,1
25/26,Premier Liga,Zenit St. Petersburg,2026-05-10,2:1,FC Sochi,Aleksandr Degtev,Luiz Henrique,0
23/24,Premier League,Wolverhampton Wanderers,2024-02-04,2:4,Chelsea FC,Djordje Petrovic,Matheus Cunha,1
23/24,FA Cup,Wolverhampton Wanderers,2024-01-16,3:2,Brentford FC,Thomas Strakosha,Matheus Cunha,1
20/21,Bundesliga,Hertha BSC,2020-11-21,2:5,Borussia Dortmund,Roman Bürki,Matheus Cunha,1
20/21,Bundesliga,Hertha BSC,2020-11-07,0:3,FC Augsburg,Rafał Gikiewicz,Matheus Cunha,1
19/20,CONMEBOL Pre-Olympic Tournament,Brazil U23,2020-01-23,3:1,Uruguay U23,Ignacio de Arruabarrena,Matheus Cunha,1
19/20,International Friendlies,Brazil U23,2019-10-14,2:3,Japan U22,Keisuke Osako,Matheus Cunha,1
18/19,International Friendlies,Brazil U23,2019-06-05,0:4,France U18,Hugo Barbet,Matheus Cunha,1
20/21,Olympic Games,Brazil Olympic Team,2021-07-22,4:2,Germany Olympic Team,Florian Müller,Matheus Cunha,0
20/21,Bundesliga,Hertha BSC,2021-01-23,1:4,SV Werder Bremen,Jiri Pavlenka,Matheus Cunha,0
25/26,International Friendlies,Brazil,2026-05-31,6:2,Panama,Orlando Mosquera,Igor Thiago,1
25/26,Premier League,Brentford FC,2026-05-02,3:0,West Ham United,Mads Hermansen,Igor Thiago,1
25/26,Premier League,Brentford FC,2026-04-11,2:2,Everton FC,Jordan Pickford,Igor Thiago,1
25/26,International Friendlies,Brazil,2026-04-01,3:1,Croatia,Dominik Livakovic,Igor Thiago,1
25/26,FA Cup,Brentford FC,2026-03-09,7:5,West Ham United,Alphonse Areola,Igor Thiago,1
25/26,Premier League,Brentford FC,2026-02-07,2:3,Newcastle United,Nick Pope,Igor Thiago,1
25/26,Premier League,Brentford FC,2025-11-29,3:1,Burnley FC,Martin Dúbravka,Igor Thiago,1
25/26,Premier League,Brentford FC,2025-11-22,2:1,Brighton & Hove Albion,Bart Verbruggen,Igor Thiago,1
25/26,Premier League,Brentford FC,2025-11-09,3:1,Newcastle United,Aaron Ramsdale,Igor Thiago,1
25/26,Premier League,Brentford FC,2025-10-25,3:2,Liverpool FC,Giorgi Mamardashvili,Igor Thiago,1
25/26,Premier League,Brentford FC,2025-08-17,3:1,Nottingham Forest,Matz Sels,Igor Thiago,1
23/24,Jupiler Pro League,Club Brugge KV,2024-01-20,3:0,KVC Westerlo,Sinan Bolat,Igor Thiago,1
23/24,Jupiler Pro League,Club Brugge KV,2023-12-26,1:1,Union Saint-Gilloise,Anthony Moris,Igor Thiago,1
23/24,Jupiler Pro League,Club Brugge KV,2023-12-22,1:6,RWD Molenbeek,Théo Defourny,Igor Thiago,1
23/24,Jupiler Pro League,Club Brugge KV,2023-12-17,2:0,KAA Gent,Davy Roef,Igor Thiago,1
25/26,Premier League,Brentford FC,2025-11-22,2:1,Brighton & Hove Albion,Bart Verbruggen,Igor Thiago,0
23/24,UEFA Conference League,Club Brugge KV,2024-04-11,1:0,PAOK Thessaloniki,Dominik Kotarski,Igor Thiago,0
23/24,Jupiler Pro League,Club Brugge KV,2023-12-22,1:6,RWD Molenbeek,Théo Defourny,Igor Thiago,0
23/24,Jupiler Pro League,Club Brugge KV,2023-12-17,2:0,KAA Gent,Davy Roef,Igor Thiago,1
23/24,UEFA Conference League,Club Brugge KV,2023-11-09,2:0,FC Lugano,Amir Saipi,Igor Thiago,1
23/24,UEFA Conference League Qualifying,Club Brugge KV,2023-08-10,5:1,KA Akureyri,Kristijan Jajalo,Igor Thiago,1
23/24,Jupiler Pro League,Club Brugge KV,2023-07-30,1:1,KV Mechelen,Gaëtan Coucke,Igor Thiago,1
21/22,Vtora Liga,Ludogorets Razgrad II,2022-04-25,3:2,Dobrudzha,Dimitar Iliev,Igor Thiago,1
25/26,Premier League,Brentford FC,2025-11-22,2:1,Brighton & Hove Albion,Bart Verbruggen,Igor Thiago,0
23/24,UEFA Conference League,Club Brugge KV,2024-04-11,1:0,PAOK Thessaloniki,Dominik Kotarski,Igor Thiago,0
23/24,Jupiler Pro League,Club Brugge KV,2023-12-22,1:6,RWD Molenbeek,Théo Defourny,Igor Thiago,0
25/26,Ligue 1,Olympique Lyon,2026-01-25,2:5,FC Metz,Jonathan Fischer,Endrick,1
21/22,International Friendlies,Brazil U17,2022-04-14,2:2,Netherlands U16,Kiyani Zeggen,Endrick,1
23/24,CONMEBOL Pre-Olympic Tournament,Brazil U23,2024-02-05,0:1,Paraguay U23,Ángel González,Endrick,0
22/23,Campeonato Brasileiro Série A,Sociedade Esportiva Palmeiras,2023-07-02,2:2,Club Athletico Paranaense,Léo Linck,Endrick,0
